               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.031258,           0.0083256,                   0,             0.97382,             0.71875,              0.8236,             0.52977,            0.036337,            0.004642,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031116,           0.0082804,                   0,             0.86809,             0.84375,             0.87357,             0.51327,             0.03731,           0.0046678,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031033,           0.0081952,                   0,             0.90275,             0.87041,             0.90066,             0.54588,            0.034072,           0.0046153,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.031515,           0.0083317,                   0,             0.89964,             0.84044,             0.87371,             0.50206,            0.036899,           0.0046306,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.03099,           0.0078025,                   0,             0.86826,             0.90625,             0.88729,             0.54095,             0.03484,           0.0043974,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030347,           0.0082128,                   0,             0.77925,              0.8125,             0.80018,              0.4887,            0.038755,           0.0042984,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.031327,           0.0084761,                   0,             0.84265,             0.83691,             0.84212,             0.49615,             0.03609,           0.0043983,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030276,           0.0076618,                   0,             0.87053,              0.8406,             0.86025,             0.52756,            0.036256,           0.0045562,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029274,           0.0075555,                   0,             0.87081,             0.84258,             0.85164,             0.48012,            0.037428,           0.0045054,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028747,           0.0079116,                   0,             0.87642,             0.88673,             0.86672,             0.49173,            0.037486,           0.0044501,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.030349,           0.0076729,                   0,             0.92637,               0.875,             0.89814,             0.49586,            0.036729,           0.0043783,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027451,           0.0078659,                   0,             0.87359,             0.86405,             0.85819,             0.50766,            0.036152,            0.004283,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026729,           0.0076589,                   0,             0.89283,             0.84375,             0.87066,             0.53738,            0.034284,           0.0041776,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026611,             0.00749,                   0,             0.90556,             0.89914,             0.89601,             0.55221,            0.034559,           0.0041871,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028337,           0.0077072,                   0,              0.9374,             0.93593,             0.92402,              0.5704,            0.033635,           0.0041871,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026178,           0.0081948,                   0,             0.87461,             0.87197,             0.85897,             0.55166,            0.034223,           0.0041971,                   0,            0.004852,            0.004852,            0.004852
